alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso
2243330093,B,I.C.,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,50,44,75,50,4,4,6,2,55,16,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2203223014,S,I.C.,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,75,11,75,75,6,1,6,3,55,16,APROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330341,H,I.S.C.,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,63,56,50,50,5,5,4,2,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2213216002,C,I.I.S.,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,88,33,38,75,7,3,3,3,55,16,APROBADO,REPROBADO,REPROBADO,APROBADO,REPROBADO,SI
2213266049,C,I.I.S.,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,75,33,88,0,6,3,7,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2222390025,D,I.I.S.,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,38,56,75,50,3,5,6,2,55,16,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330223,D,I.I.S.,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,75,33,88,0,6,3,7,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330394,J,I.S.C.,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,88,44,50,25,7,4,4,1,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2233336140,Q,I.N.,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,75,44,50,50,6,4,4,2,55,16,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
2243330296,Q,I.N.,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,38,100,25,50,3,9,2,2,55,16,REPROBADO,APROBADO,REPROBADO,REPROBADO,REPROBADO,SI
